Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2744,Eggs,2020,2020,kg,16.53,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2744,Eggs,2021,2021,kg,15.96,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2848,Milk - Excluding Butter,2017,2017,kg,174.68,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2848,Milk - Excluding Butter,2018,2018,kg,173.26,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2848,Milk - Excluding Butter,2019,2019,kg,209.86,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2848,Milk - Excluding Butter,2020,2020,kg,213.53,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2848,Milk - Excluding Butter,2021,2021,kg,208.39,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2761,Freshwater Fish,2017,2017,kg,4.42,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2761,Freshwater Fish,2018,2018,kg,4.47,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2761,Freshwater Fish,2019,2019,kg,4.73,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2761,Freshwater Fish,2020,2020,kg,4.72,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2761,Freshwater Fish,2021,2021,kg,4.72,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2762,Demersal Fish,2017,2017,kg,3.95,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2762,Demersal Fish,2018,2018,kg,3.97,E,Estimated value
